pkt_rate, byte_rate, flow_dur, avg_pkt_size, flow_count, label
0.2366863905325444,23.19526627218935,4.225,98.0,21,0
14.214641080312722,1286.8988391376452,4.221,90.53333333333333,21,0
4.264392324093817,417.910447761194,4.221,98.0,21,0
0.47789725209080053,46.83393070489845,4.185,98.0,21,0
0.2390057361376673,23.422562141491394,4.184,98.0,21,0
14.354066985645934,1299.5215311004786,4.18,90.53333333333333,21,0
0.23923444976076558,23.444976076555026,4.18,98.0,21,0
14.471780028943561,1310.1784852870237,4.146,90.53333333333333,21,0
0.241196333815726,23.63724071394115,4.146,98.0,21,0
0.2493143854400399,24.432809773123907,4.011,98.0,21,0
0.24937655860349128,24.438902743142148,4.01,98.0,21,0
0.249500998003992,24.451097804391217,4.008,98.0,21,0
0.2541942043721403,24.91103202846975,3.934,98.0,21,0
0.25425883549453343,24.917365878464278,3.933,98.0,21,0
0.2544529262086514,24.936386768447836,3.93,98.0,21,0
4.08371618172537,400.20418580908625,3.918,98.0,21,0
8.677896886166412,850.4338948443083,3.918,98.0,21,0
8.422664624808576,825.4211332312404,3.918,98.0,21,0
4.500236854571293,441.0232117479867,4.222,98.0,26,0
13.507109004739338,1244.0758293838862,4.22,92.10526315789474,26,0
0.47427080863172877,46.47853924590942,4.217,98.0,26,0
13.519924098671726,1245.2561669829222,4.216,92.10526315789474,26,0
4.509850462853073,441.9653453596012,4.213,98.0,26,0
13.532763532763534,1246.4387464387464,4.212,92.10526315789474,26,0
0.4783544606553456,46.87873714422387,4.181,98.0,26,0
0.47881254488867614,46.92362939909026,4.177,98.0,26,0
0.47915668423574503,46.957355055103015,4.174,98.0,26,0
0.48227634434530986,47.26308174584037,4.147,98.0,26,0
0.48274197441467537,47.30871349263819,4.143,98.0,26,0
0.48309178743961356,47.34299516908213,4.14,98.0,26,0
0.48602673147023084,47.630619684082625,4.115,98.0,26,0
0.24307243558580457,23.82109868740885,4.114,98.0,26,0
0.48638132295719844,47.66536964980545,4.112,98.0,26,0
0.24324981756263683,23.838482121138412,4.111,98.0,26,0
4.385964912280702,429.82456140350877,4.104,98.0,26,0
0.48995590396864286,48.015678588926995,4.082,98.0,26,0
0.24497795198432143,24.007839294463498,4.082,98.0,26,0
4.417177914110429,432.8834355828221,4.075,98.0,26,0
0.2469135802469136,24.19753086419753,4.05,98.0,26,0
0.24764735017335313,24.269440316988607,4.038,98.0,26,0
0.25451768897938404,24.942733519979637,3.9290000000000003,98.0,26,0
0.2545824847250509,24.94908350305499,3.928,98.0,26,0
4.082674151569278,400.1020668537892,3.919,98.0,26,0
4.338948443083206,425.21694742215413,3.918,98.0,26,0
0.4161464835622139,33.014287695935636,7.209,79.33333333333333,30,0
13.179800221975583,1198.390677025527,7.208,90.92631578947369,30,0
0.4163775156141568,33.03261623872311,7.205,79.33333333333333,30,0
13.187118267629096,1199.0560799555803,7.204,90.92631578947369,30,0
0.41660880433273156,33.05096514373004,7.201,79.33333333333333,30,0
13.194444444444445,1199.7222222222222,7.2,90.92631578947369,30,0
9.623430962343097,935.2859135285913,7.17,97.18840579710145,30,0
0.4185851820845542,33.207757778707965,7.167,79.33333333333333,30,0
0.41881893061566383,33.226301828842665,7.163,79.33333333333333,30,0
0.4203446826397646,33.34734482275466,7.1370000000000005,79.33333333333333,30,0
0.42052144659377627,33.361368096439584,7.134,79.33333333333333,30,0
0.4206983592763988,33.37540316926097,7.131,79.33333333333333,30,0
0.4220002813335209,33.47868898579266,7.109,79.33333333333333,30,0
5.0675675675675675,488.73873873873873,7.104,96.44444444444444,30,0
0.4224757076468103,33.51640613998028,7.101,79.33333333333333,30,0
0.42378867071620285,33.62056787681876,7.079,79.33333333333333,30,0
5.087620124364047,490.6726964386659,7.076,96.44444444444444,30,0
0.4241481690937367,33.649088081436446,7.073,79.33333333333333,30,0
0.4252906152537567,33.7397221434647,7.054,79.33333333333333,30,0
0.42547156431711813,33.754077435824705,7.051,79.33333333333333,30,0
0.42565266742338254,33.76844494892168,7.048,79.33333333333333,30,0
0.4269247189412267,33.86936103600399,7.027,79.33333333333333,30,0
0.2846569883290635,19.925989183034446,7.026,70.0,30,0
0.4271070615034169,33.88382687927107,7.024,79.33333333333333,30,0
0.2847380410022779,19.931662870159453,7.024,70.0,30,0
0.2851846570654499,19.962925994581493,7.013,70.0,30,0
0.4283878337855205,33.98543481365129,7.003,79.33333333333333,30,0
0.2856326763781777,19.994287346472436,7.002,70.0,30,0
0.286082105564297,20.025747389500786,6.991,70.0,30,0
9.75609756097561,948.0631276901005,6.97,97.17647058823529,30,0
10.661866518969815,1006.092495153697,7.222,94.36363636363636,36,0
5.677883949591469,533.167151364077,7.221,93.90243902439025,36,0
10.266370699223085,982.7968923418424,7.208,95.72972972972973,36,0
1.5267175572519083,110.75641915336571,7.205,72.54545454545455,36,0
1.1104941699056081,85.50805108273182,7.204,77.0,36,0
1.5284146172016118,110.87953313880783,7.197,72.54545454545455,36,0
10.28349082823791,984.4357976653697,7.196,95.72972972972973,36,0
1.5318200807686952,111.12658404121989,7.181,72.54545454545455,36,0
10.74518559866034,1013.9547864917666,7.166,94.36363636363636,36,0
1.5371716042481833,111.51481274455003,7.156,72.54545454545455,36,0
1.1179429849077698,86.08160983789827,7.156,77.0,36,0
1.5391073177557015,111.65523996082271,7.147,72.54545454545455,36,0
1.5412638363458036,111.81168558217738,7.1370000000000005,72.54545454545455,36,0
10.803984846358917,1019.5032973200506,7.127,94.36363636363636,36,0
6.189337459558306,567.1683781122521,7.109,91.63636363636364,36,0
1.1253340835560557,86.6507244338163,7.109,77.0,36,0
10.416666666666666,997.1846846846847,7.104,95.72972972972973,36,0
1.1270780501549733,86.78500986193293,7.098,77.0,36,0
1.550387596899225,112.47357293868922,7.095,72.54545454545455,36,0
